Gene,log2FoldChange (FC),abs(FC),P-adjusted
GUSBP9,0.29997232,0.29997232,0.001136742
TMEM117,0.301441003,0.301441003,0.00198443
LCORL,0.30185622,0.30185622,0.008801771
FKBP5,0.302398793,0.302398793,2.17294E-10
AHCYL1,0.304072621,0.304072621,0.000757825
ZHX3,0.304497396,0.304497396,0.002735656
SORT1,0.305209873,0.305209873,0.00670948
MAGED1,0.305954866,0.305954866,0.000140988
CASD1,0.308396493,0.308396493,0.001223418
FAM126B,0.308426308,0.308426308,0.005790363
HDAC4,0.308673906,0.308673906,0.000325509
TLE1,0.310194353,0.310194353,0.002237935
ZMYM2,0.311276294,0.311276294,8.37202E-05
ARHGEF28,0.31137756,0.31137756,0.003342439
G6PC2,0.312003456,0.312003456,9.62922E-05
SON,0.313887304,0.313887304,0.000346397
CDC42EP3,0.31581821,0.31581821,0.008638779
STX8,0.318607674,0.318607674,0.002831145
SMEK1,0.319203876,0.319203876,0.003851102
XKR6,0.320677177,0.320677177,4.69834E-05
SNRNP70,0.320986531,0.320986531,0.001193378
CPE,0.321669768,0.321669768,3.0051E-05
RP11-61L23.2,0.323096848,0.323096848,3.45463E-05
PHLDB2,0.324331018,0.324331018,0.000435865
STK33,0.324679871,0.324679871,0.000336927
RP11-418J17.1,0.324885793,0.324885793,0.000603051
EGFEM1P,0.32635692,0.32635692,8.52055E-07
KLF12,0.328499851,0.328499851,4.21001E-07
GDA,0.330177199,0.330177199,0.003526121
RP11-475O6.1,0.33335223,0.33335223,0.000359161
PPP1R10,0.333484778,0.333484778,0.005206552
FAM115D,0.334344548,0.334344548,0.007854338
GSTO2,0.334645704,0.334645704,0.005407215
CNKSR3,0.336120932,0.336120932,0.001037302
FAM135A,0.336271685,0.336271685,0.000358722
LDLRAD3,0.337414904,0.337414904,0.000491935
TCF20,0.341129966,0.341129966,0.002989327
ESRRG,0.345960246,0.345960246,0.00175746
SRGAP2B,0.346632254,0.346632254,0.000525141
TSC22D1,0.347089684,0.347089684,4.39461E-09
ZNF518A,0.34770487,0.34770487,0.000656403
LINC00535,0.348311831,0.348311831,0.001652241
AC092594.1,0.348401381,0.348401381,0.00246374
SAMD5,0.348467197,0.348467197,3.36068E-06
